IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.145.230,4,4,0.00,361.91,0.42,LHR
172.66.169.224,4,4,0.00,361.86,0.30,LHR
172.66.170.12,4,4,0.00,360.85,0.20,LHR
172.67.112.3,4,4,0.00,362.60,0.18,LHR
172.66.208.56,4,4,0.00,361.76,0.13,LHR
172.67.150.18,4,4,0.00,361.64,0.10,LHR
172.67.245.1,4,4,0.00,362.45,0.07,LHR
172.65.58.156,4,4,0.00,361.78,0.00,LHR
172.65.237.71,4,4,0.00,362.53,0.00,LHR
172.67.160.189,4,4,0.00,362.62,0.00,LHR
172.67.147.180,4,4,0.00,362.75,0.00,LHR
172.67.153.210,4,4,0.00,362.77,0.00,LHR
172.66.210.71,4,4,0.00,362.89,0.00,LHR
172.67.242.138,4,4,0.00,363.16,0.00,LHR
172.64.95.32,4,4,0.00,363.19,0.00,LHR
172.67.162.12,4,4,0.00,363.24,0.00,LHR
172.66.130.93,4,4,0.00,363.29,0.00,LHR
172.67.214.212,4,4,0.00,363.43,0.00,LHR
172.67.255.11,4,4,0.00,363.50,0.00,LHR
172.66.47.188,4,4,0.00,363.62,0.00,LHR
172.65.56.72,4,4,0.00,363.77,0.00,LHR
172.67.77.209,4,4,0.00,363.78,0.00,LHR
172.64.188.47,4,4,0.00,363.81,0.00,LHR
172.66.163.44,4,4,0.00,364.01,0.00,LHR
172.66.204.69,4,4,0.00,364.07,0.00,LHR
172.64.149.251,4,4,0.00,364.13,0.00,LHR
172.67.203.42,4,4,0.00,364.33,0.00,LHR
172.65.164.135,4,4,0.00,364.63,0.00,LHR
172.65.47.24,4,4,0.00,364.71,0.00,LHR
172.64.92.52,4,4,0.00,364.78,0.00,LHR
172.67.168.143,4,4,0.00,364.79,0.00,LHR
172.67.125.80,4,4,0.00,364.93,0.00,LHR
172.67.154.26,4,4,0.00,364.95,0.00,LHR
172.65.46.169,4,4,0.00,364.99,0.00,LHR
172.67.91.49,4,4,0.00,365.02,0.00,LHR
172.66.142.70,4,4,0.00,365.03,0.00,LHR
172.65.33.198,4,4,0.00,365.23,0.00,LHR
172.67.199.117,4,4,0.00,365.31,0.00,LHR
172.67.194.11,4,4,0.00,365.38,0.00,LHR
172.64.184.142,4,4,0.00,365.58,0.00,LHR
172.67.253.73,4,4,0.00,365.63,0.00,LHR
172.66.155.202,4,4,0.00,365.85,0.00,LHR
172.64.85.98,4,4,0.00,365.87,0.00,LHR
172.65.232.191,4,4,0.00,365.91,0.00,LHR
172.64.90.143,4,4,0.00,366.05,0.00,LHR
172.65.42.179,4,4,0.00,366.09,0.00,LHR
172.64.231.198,4,4,0.00,366.38,0.00,LHR
172.67.158.130,4,4,0.00,366.53,0.00,LHR
172.66.137.119,4,4,0.00,366.61,0.00,LHR
172.67.152.24,4,4,0.00,366.82,0.00,LHR
172.66.136.182,4,4,0.00,366.91,0.00,LHR
172.66.131.33,4,4,0.00,366.92,0.00,LHR
172.67.236.66,4,4,0.00,366.94,0.00,LHR
172.67.79.195,4,4,0.00,366.98,0.00,LHR
172.65.245.185,4,4,0.00,367.17,0.00,LHR
172.67.133.246,4,4,0.00,367.19,0.00,LHR
172.67.233.172,4,4,0.00,367.37,0.00,LHR
172.65.248.220,4,4,0.00,367.38,0.00,LHR
172.67.175.110,4,4,0.00,367.46,0.00,LHR
172.64.88.198,4,4,0.00,367.69,0.00,LHR
172.66.139.139,4,4,0.00,367.70,0.00,LHR
172.67.107.206,4,4,0.00,367.71,0.00,LHR
172.66.40.98,4,4,0.00,367.74,0.00,LHR
172.67.135.122,4,4,0.00,368.07,0.00,LHR
172.67.81.120,4,4,0.00,368.08,0.00,LHR
172.67.221.211,4,4,0.00,368.22,0.00,LHR
172.67.208.162,4,4,0.00,368.27,0.00,LHR
172.67.122.141,4,4,0.00,368.31,0.00,LHR
172.64.147.95,4,4,0.00,368.42,0.00,LHR
172.66.195.134,4,4,0.00,368.52,0.00,LHR
172.66.193.16,4,4,0.00,368.67,0.00,LHR
104.24.180.133,4,4,0.00,368.87,0.00,LHR
172.65.218.217,4,4,0.00,368.93,0.00,LHR
172.64.52.133,4,4,0.00,369.09,0.00,LHR
172.66.194.192,4,4,0.00,369.14,0.00,LHR
172.66.162.143,4,4,0.00,369.17,0.00,LHR
172.67.131.10,4,4,0.00,369.17,0.00,LHR
172.67.157.140,4,4,0.00,369.59,0.00,LHR
172.67.204.95,4,4,0.00,369.64,0.00,LHR
172.66.132.184,4,4,0.00,369.66,0.00,LHR
172.67.166.200,4,4,0.00,369.73,0.00,LHR
172.67.106.237,4,4,0.00,369.96,0.00,LHR
172.67.227.214,4,4,0.00,370.10,0.00,LHR
172.67.98.249,4,4,0.00,370.17,0.00,LHR
172.67.254.18,4,4,0.00,370.23,0.00,LHR
172.67.213.61,4,4,0.00,370.34,0.00,LHR
172.66.128.211,4,4,0.00,370.44,0.00,LHR
172.67.223.42,4,4,0.00,370.52,0.00,LHR
172.67.140.47,4,4,0.00,370.55,0.00,LHR
172.67.201.217,4,4,0.00,370.56,0.00,LHR
172.64.91.243,4,4,0.00,370.59,0.00,LHR
172.67.76.145,4,4,0.00,370.67,0.00,LHR
172.67.172.52,4,4,0.00,370.67,0.00,LHR
172.67.75.231,4,4,0.00,370.70,0.00,LHR
172.64.159.34,4,4,0.00,370.75,0.00,LHR
172.67.190.236,4,4,0.00,370.88,0.00,LHR
